slide,model,lambda,fold,dice,iou,entropy
test_004,max,0.0,9,0.0,0.0,0.9999929492928289
test_004,abmil,0.0,0,0.0029237516349926904,0.0014640160271228231,0.7424841081432335
test_004,abmil,0.0,1,0.0037444538483239723,0.001875738732720078,0.48090499897730393
test_004,abmil,0.0,2,0.0019491677566617937,0.00097553461864298,0.12323640330427758
test_004,abmil,0.0,3,0.005539739939986151,0.002777563459609598,0.32673139745538987
test_004,abmil,0.0,4,0.0029237516349926904,0.0014640160271228231,0.6517055536547466
test_004,abmil,0.0,5,0.003282808853325126,0.001644103064710869,0.2643768128547038
test_004,abmil,0.0,6,0.0037444538483239723,0.001875738732720078,0.6627435315017458
test_004,abmil,0.0,7,0.000512938883332051,0.00025653523511454297,0.9272937091443957
test_004,abmil,0.0,8,0.0,0.0,0.9714191258821349
test_004,abmil,0.0,9,0.0037444538483239723,0.001875738732720078,0.36499484545312294
test_004,transmil,0.0,0,0.0,0.0,0.9999829864284758
test_004,transmil,0.0,1,0.0,0.0,0.9995164835162951
test_004,transmil,0.0,2,0.0,0.0,0.9999754321686917
test_004,transmil,0.0,3,0.0013336410966633325,0.0006672654946747081,0.9999728046000711
test_004,transmil,0.0,4,0.0,0.0,0.9999018602473151
test_004,transmil,0.0,5,0.0,0.0,0.9999272600773141
test_004,transmil,0.0,6,0.0,0.0,0.9973698694352982
test_004,transmil,0.0,7,0.0,0.0,0.9993155839988458
test_004,transmil,0.0,8,0.0,0.0,0.9997355570500369
test_004,transmil,0.0,9,0.0,0.0,0.9998800733241694
test_004,clam,0.0,0,0.0033341027416583313,0.0016698350716744593,0.23810153720639113
test_004,clam,0.0,1,0.0013336410966633325,0.0006672654946747081,0.9459376222917989
test_004,clam,0.0,2,0.0037444538483239723,0.001875738732720078,0.1979452544635998
test_004,clam,0.0,3,0.0020004616449949986,0.0010012322858903265,0.3378666774528703
test_004,clam,0.0,4,0.004154804954989613,0.0020817270624518117,0.8073193091153027
test_004,clam,0.0,5,0.004154804954989613,0.0020817270624518117,0.6501354719219176
test_004,clam,0.0,6,0.00533456438665333,0.002674415614472703,0.42111768577146763
test_004,clam,0.0,7,0.0037957477366571775,0.001901482642546959,0.6969204260317983
test_004,clam,0.0,8,0.0013336410966633325,0.0006672654946747081,0.9161637663956758
test_004,clam,0.0,9,0.004154804954989613,0.0020817270624518117,0.5154618508780965
test_004,clam,0.05,0,0.0020004616449949986,0.0010012322858903265,0.9875312671815728
test_004,clam,0.05,1,0.0033341027416583313,0.0016698350716744593,0.9584041216121927
test_004,clam,0.05,2,0.0033341027416583313,0.0016698350716744593,0.9865580814537215
test_004,clam,0.05,3,0.0028211638583262805,0.0014125744811999178,0.9633005957366639
test_004,clam,0.05,4,0.0014875227616629478,0.0007443149735639854,0.9798646788388435
test_004,clam,0.05,5,0.0015901105383293581,0.0007956878850102669,0.979832710087293
test_004,clam,0.05,6,0.0037957477366571775,0.001901482642546959,0.9793067584350714
test_004,clam,0.05,7,0.0,0.0,0.9802808200191296
test_004,clam,0.05,8,0.0014875227616629478,0.0007443149735639854,0.970381564723079
test_004,clam,0.05,9,0.0033853966299915365,0.001695568400770713,0.9728351664045817
test_008,mean,0.0,0,0.0,0.0,0.9999925768746548
test_008,mean,0.0,1,0.0,0.0,0.9999925768746548
test_008,mean,0.0,2,0.0,0.0,0.9999925768746548
test_008,mean,0.0,3,0.0,0.0,0.9999925768746548
test_008,mean,0.0,4,0.0,0.0,0.9999925768746548
test_008,mean,0.0,5,0.0,0.0,0.9999925768746548
test_008,mean,0.0,6,0.0,0.0,0.9999925768746548
test_008,mean,0.0,7,0.0,0.0,0.9999925768746548
test_008,mean,0.0,8,0.0,0.0,0.9999925768746548
test_008,mean,0.0,9,0.0,0.0,0.9999925768746548
test_008,max,0.0,0,0.0,0.0,0.9999925768746548
test_008,max,0.0,1,0.0,0.0,0.9999925768746548
test_008,max,0.0,2,0.0,0.0,0.9999925768746548
test_008,max,0.0,3,0.0,0.0,0.9999925768746548
test_008,max,0.0,4,0.0,0.0,0.9999925768746548
test_008,max,0.0,5,0.0,0.0,0.9999925768746548
test_008,max,0.0,6,0.0,0.0,0.9999925768746548
test_008,max,0.0,7,0.0,0.0,0.9999925768746548
test_008,max,0.0,8,0.0,0.0,0.9999925768746548
test_008,max,0.0,9,0.0,0.0,0.9999925768746548
test_008,abmil,0.0,0,0.0203748788616541,0.01029229152736651,0.6070975659606267
