slide,fold,lambda,dice,iou,entropy
test_008,7,0.2,0.025764057957312028,0.013050141276758775,0.9842847610326438
test_008,8,0.0,0.02538586995059919,0.012856116830260953,0.688313819974688
test_008,8,0.01,0.024298579431299785,0.012298710310339052,0.8182682020739183
test_008,8,0.02,0.012716571725719147,0.006398972358342452,0.9699192261465778
test_008,8,0.05,0.02477131443969083,0.012540985568293325,0.8725722986811647
test_008,8,0.1,0.02538586995059919,0.012856116830260953,0.9720160784459988
test_008,8,0.15,0.024629493937173518,0.012468290815105539,0.9789634361422261
test_008,8,0.2,0.024629493937173518,0.012468290815105539,0.9774511430710292
test_008,9,0.0,0.01753846881130782,0.008846814193056085,0.4078147690007248
test_008,9,0.01,0.018200297823055288,0.009183722150660751,0.5081033134372703
test_008,9,0.02,0.01999669085494126,0.010099321936777768,0.688892404336242
test_008,9,0.05,0.02557496395395561,0.012953119762486233,0.7630791733958456
test_008,9,0.1,0.02538586995059919,0.012856116830260953,0.875324702488246
test_008,9,0.15,0.02538586995059919,0.012856116830260953,0.947748342710444
test_008,9,0.2,0.0254804169522774,0.01290461597395135,0.9898123817740926
test_010,0,0.0,0.0037258232425620512,0.0018663885381786244,0.3017138443739126
test_010,0,0.01,0.0037258232425620512,0.0018663885381786244,0.3989170155121683
test_010,0,0.02,0.004629883294066078,0.0023203130363149585,0.6664991975304367
test_010,0,0.05,0.002766971672785053,0.0013854025211582513,0.9565115060006695
test_010,0,0.1,0.001917703139553997,0.0009597718485205803,0.9864867901145208
test_010,0,0.15,0.00468467481233905,0.002347836832205182,0.9983948468359046
test_010,0,0.2,0.001917703139553997,0.0009597718485205803,0.988158562093482
test_010,1,0.0,0.004712070571475536,0.002361599297012302,0.9474822831055043
test_010,1,0.01,0.0027943674319215388,0.0013991385695865683,0.9837108848342826
test_010,1,0.02,0.001917703139553997,0.0009597718485205803,0.8251567607344819
test_010,1,0.05,0.004629883294066078,0.0023203130363149585,0.9768768582501184
test_010,1,0.1,0.0037258232425620512,0.0018663885381786244,0.9916699776085393
test_010,1,0.15,0.0037258232425620512,0.0018663885381786244,0.9959893005202213
test_010,1,0.2,0.0027943674319215388,0.0013991385695865683,0.9998369697078121
test_010,2,0.0,0.0027943674319215388,0.0013991385695865683,0.4370385885876957
test_010,2,0.01,0.003698427483425566,0.0018526396684461156,0.9057472083900745
test_010,2,0.02,0.0037258232425620512,0.0018663885381786244,0.9327904585066199
test_010,2,0.05,0.0037258232425620512,0.0018663885381786244,0.995689296484417
test_010,2,0.1,0.0009314558106405128,0.00046594490886665754,0.9952250969109772
test_010,2,0.15,0.001917703139553997,0.0009597718485205803,0.995105115718986
test_010,2,0.2,0.0037258232425620512,0.0018663885381786244,0.9906408963720397
test_010,3,0.0,0.0027943674319215388,0.0013991385695865683,0.0953873834370353
test_010,3,0.01,0.0028765547093309958,0.001440348975980466,0.9814114325258152
