slide,fold,lambda,dice,iou,entropy
test_013,8,0.0,0.01196785775346213,0.006019951840385277,0.5282086787857617
test_013,8,0.05,0.01196785775346213,0.006019951840385277,0.9892721841139362
test_013,8,0.1,0.010087194392203796,0.005069164017527279,0.9722288910842446
test_013,9,0.0,0.01590015387245683,0.008013787160706592,0.17260452420200695
test_013,9,0.05,0.017267909044281073,0.008709148917823576,0.4951613807374532
test_013,9,0.1,0.017780817233715166,0.00897015697774711,0.9910047018105597
test_016,0,0.0,0.4899896490405457,0.32449423192974025,0.586038035239726
test_016,0,0.05,0.49061778418691887,0.32504542523884883,0.7257920954880048
test_016,0,0.1,0.4908124176125556,0.32521631064318707,0.8212585530519982
test_016,1,0.0,0.4904585386568524,0.32490564268467076,0.981455306511217
test_016,1,0.05,0.49054700839577825,0.32498329601800513,0.7699284605147013
test_016,1,0.1,0.49084780550812596,0.32524738545232845,0.9955419689728183
test_016,2,0.0,0.4904319977351747,0.32488234845954134,0.6690196558942083
test_016,2,0.05,0.49058239629134853,0.32501435990012545,0.7373800762604587
test_016,2,0.1,0.49080357063866303,0.32520854216860406,0.7909960870784872
test_016,3,0.0,0.4906885599780595,0.32510756028651483,0.6405444341030581
test_016,3,0.05,0.49076818274309275,0.32517746918103324,0.7445948382157863
test_016,3,0.1,0.49044084470906724,0.3248901131102385,0.8150664332131967
test_016,4,0.0,0.49018428246618245,0.3246649751844321,0.5957159306726121
test_016,4,0.05,0.4907770297169853,0.32518523729131493,0.733320586186439
test_016,4,0.1,0.4905558553696708,0.3249910618519843,0.8001132568010572
test_016,5,0.0,0.490299293126786,0.3247658896194461,0.593471187317434
test_016,5,0.05,0.49058239629134853,0.32501435990012545,0.7080745723498129
test_016,5,0.1,0.4900161899622234,0.32451751250893496,0.8100767474072272
test_016,6,0.0,0.49049392655242274,0.32493670292573146,0.6547380041299856
test_016,6,0.05,0.49061778418691887,0.32504542523884883,0.7515266343034208
test_016,6,0.1,0.49017543549228987,0.32465721317238955,0.8066786328615434
test_016,7,0.0,0.49084780550812596,0.32524738545232845,0.7224948411047881
test_016,7,0.05,0.49075933576920017,0.3251697011618228,0.78273428305075
test_016,7,0.1,0.49056470234356336,0.3249988277769963,0.7857075018129437
test_016,8,0.0,0.49032583404846375,0.3247891797495356,0.6398131716321159
test_016,8,0.05,0.49084780550812596,0.32524738545232845,0.7427901880304137
test_016,8,0.1,0.49036122194403403,0.32482023453020703,0.8111322032575277
test_016,9,0.0,0.4902019764139676,0.3246804994814159,0.6677730495274492
test_016,9,0.05,0.49021967036175274,0.32469602414227533,0.8026341298293919
test_016,9,0.1,0.49084780550812596,0.32524738545232845,0.7956273985324166
test_021,0,0.0,0.19562437890265838,0.10841666037567514,0.8006010411918231
test_021,0,0.05,0.1957255087709522,0.1084787873033812,0.8363444983745115
test_021,0,0.1,0.19543863016497584,0.10830256783278207,0.9275362619852636
test_021,1,0.0,0.1958782355108245,0.10857262484513404,0.9876333661652843
test_021,1,0.05,0.1957936166414358,0.10852063181206703,0.891677271258111
test_021,1,0.1,0.1958782355108245,0.10857262484513404,0.9959884224306484
test_021,2,0.0,0.1957936166414358,0.10852063181206703,0.8355924132298868
test_021,2,0.05,0.19576678626821498,0.10850414723454782,0.8492326202508159
test_021,2,0.1,0.19568423127368942,0.10845342853253752,0.8787663107782597
test_021,3,0.0,0.1957358281452679,0.10848512717738946,0.8205425678787368
test_021,3,0.05,0.19570487002232081,0.10846610777292397,0.859437206210368
test_021,3,0.1,0.19542831079066014,0.10829623004685708,0.9028660024339789
test_021,4,0.0,0.19577504176766755,0.1085092193600269,0.8375205871588969
test_021,4,0.05,0.19568423127368942,0.10845342853253752,0.8453330776426093
test_021,4,0.1,0.19539735266771305,0.10827721712398328,0.9041677035378719
test_021,5,0.0,0.19575646689389928,0.10849780714297154,0.8271701320314739
test_021,5,0.05,0.19573995589499418,0.1084876631472987,0.8333629683306111
test_021,5,0.1,0.19566978414964745,0.10844455323685379,0.8924128728888715
test_021,6,0.0,0.19572344489608906,0.108477519337282,0.7928705214351884
